,utterance,speaker,dialogue_act,text,dialogue_id,level
1dialogues/3AiL40.cha,0.0,interviewer,general_other_question,and how old are you ?,3AiL40.cha,3.0
2dialogues/3AiL40.cha,1.0,participant,statement,I'm sixteen years old .,3AiL40.cha,3.0
3dialogues/3AiL40.cha,2.0,interviewer,statement,and you've never repeated any course then  you're not a repeater .,3AiL40.cha,3.0
4dialogues/3AiL40.cha,3.0,participant,statement,no  .,3AiL40.cha,3.0
5dialogues/3AiL40.cha,4.0,interviewer,wh_question,and when did you begin English ?,3AiL40.cha,3.0
6dialogues/3AiL40.cha,5.0,participant,statement,I begin hmm .,3AiL40.cha,3.0
7dialogues/3AiL40.cha,6.0,interviewer,general_other_question,eight ?,3AiL40.cha,3.0
8dialogues/3AiL40.cha,7.0,participant,repeat_phrase,eight or nine .,3AiL40.cha,3.0
9dialogues/3AiL40.cha,8.0,interviewer,backchannel_question,yeah ?,3AiL40.cha,3.0
10dialogues/3AiL40.cha,9.0,interviewer,statement,in third year of primary .,3AiL40.cha,3.0
11dialogues/3AiL40.cha,10.0,participant,yes_answers,yes .,3AiL40.cha,3.0
12dialogues/3AiL40.cha,11.0,interviewer,statement,ok right and you've been never to a  language school  ...,3AiL40.cha,3.0
13dialogues/3AiL40.cha,12.0,participant,no_answers,no .,3AiL40.cha,3.0
14dialogues/3AiL40.cha,13.0,interviewer,statement," , to an .",3AiL40.cha,3.0
15dialogues/3AiL40.cha,14.0,participant,no_answers,no .,3AiL40.cha,3.0
16dialogues/3AiL40.cha,15.0,interviewer,statement,nothing .,3AiL40.cha,3.0
17dialogues/3AiL40.cha,16.0,participant,statement,never .,3AiL40.cha,3.0
18dialogues/3AiL40.cha,17.0,interviewer,response_acknowledgement,good .,3AiL40.cha,3.0
19dialogues/3AiL40.cha,18.0,interviewer,statement,hmm tell me about  your self .,3AiL40.cha,3.0
20dialogues/3AiL40.cha,19.0,interviewer,general_other_question,how many brothers or sisters have you got ?,3AiL40.cha,3.0
21dialogues/3AiL40.cha,20.0,participant,statement,I have a brother  ...,3AiL40.cha,3.0
22dialogues/3AiL40.cha,21.0,interviewer,yes_answers,yeah .,3AiL40.cha,3.0
23dialogues/3AiL40.cha,22.0,participant,statement," , he's  twenty two years old  and he's studying graphic design  ...",3AiL40.cha,3.0
24dialogues/3AiL40.cha,23.0,interviewer,backchannel_acknowledge,uhhuh .,3AiL40.cha,3.0
25dialogues/3AiL40.cha,24.0,participant,statement,he's in the last hear  and he will be a graphic designer .,3AiL40.cha,3.0
26dialogues/3AiL40.cha,25.0,interviewer,wh_question,and what wil you be ?,3AiL40.cha,3.0
27dialogues/3AiL40.cha,26.0,participant,statement,&=laugh I will be a pilot .,3AiL40.cha,3.0
28dialogues/3AiL40.cha,27.0,interviewer,backchannel_question,really ?,3AiL40.cha,3.0
29dialogues/3AiL40.cha,28.0,participant,yes_answers,yes .,3AiL40.cha,3.0
30dialogues/3AiL40.cha,29.0,interviewer,general_other_question,a plane pilot ?,3AiL40.cha,3.0
31dialogues/3AiL40.cha,30.0,participant,yes_answers,yes .,3AiL40.cha,3.0
32dialogues/3AiL40.cha,31.0,interviewer,yes_no_question,are you not afraid of terrorists ?,3AiL40.cha,3.0
33dialogues/3AiL40.cha,32.0,participant,statement,&=laugh no .,3AiL40.cha,3.0
34dialogues/3AiL40.cha,33.0,interviewer,general_other_question,no &=laugh ?,3AiL40.cha,3.0
35dialogues/3AiL40.cha,34.0,participant,statement,one say that I'm a bit crazy .,3AiL40.cha,3.0
36dialogues/3AiL40.cha,35.0,interviewer,general_other_question,and you think you are a bit crazy ?,3AiL40.cha,3.0
37dialogues/3AiL40.cha,36.0,participant,no_answers,no .,3AiL40.cha,3.0
38dialogues/3AiL40.cha,37.0,interviewer,repeat_phrase,no you're not crazy .,3AiL40.cha,3.0
39dialogues/3AiL40.cha,38.0,participant,statement,it's  I love fly  .,3AiL40.cha,3.0
40dialogues/3AiL40.cha,39.0,interviewer,general_other_question,have you ever  tried ?,3AiL40.cha,3.0
41dialogues/3AiL40.cha,40.0,participant,general_other_question,hmm no I  were  a passenger ok ?,3AiL40.cha,3.0
42dialogues/3AiL40.cha,41.0,participant,signal_non_understanding,  .,3AiL40.cha,3.0
43dialogues/3AiL40.cha,42.0,interviewer,signal_non_understanding,  .,3AiL40.cha,3.0
44dialogues/3AiL40.cha,43.0,interviewer,statement,   never had any experience of piloting and: plane or so anything .,3AiL40.cha,3.0
45dialogues/3AiL40.cha,44.0,participant,statement,no  never .,3AiL40.cha,3.0
46dialogues/3AiL40.cha,45.0,interviewer,wh_question,so why do you like it ?,3AiL40.cha,3.0
47dialogues/3AiL40.cha,46.0,interviewer,wh_question,why do you think  you're going to like it ?,3AiL40.cha,3.0
48dialogues/3AiL40.cha,47.0,participant,statement,because hmm  you don't fly and  it's   a different experience .,3AiL40.cha,3.0
49dialogues/3AiL40.cha,48.0,participant,statement,it's very interesting .,3AiL40.cha,3.0
50dialogues/3AiL40.cha,49.0,interviewer,statement,ok good and you're going to be very rich .,3AiL40.cha,3.0
51dialogues/3AiL40.cha,50.0,participant,signal_non_understanding, .,3AiL40.cha,3.0
52dialogues/3AiL40.cha,51.0,interviewer,statement,you're going to be very  rich  .,3AiL40.cha,3.0
53dialogues/3AiL40.cha,52.0,interviewer,wh_question,what do you think ?,3AiL40.cha,3.0
54dialogues/3AiL40.cha,53.0,participant,statement,I think so &=laugh .,3AiL40.cha,3.0
55dialogues/3AiL40.cha,54.0,interviewer,statement,you think so &=laugh right .,3AiL40.cha,3.0
56dialogues/3AiL40.cha,55.0,interviewer,wh_question,which language do you speak at home ?,3AiL40.cha,3.0
57dialogues/3AiL40.cha,56.0,participant,statement,Spanish and Catalan .,3AiL40.cha,3.0
58dialogues/3AiL40.cha,57.0,interviewer,statement,ok and  your parents speak  ...,3AiL40.cha,3.0
59dialogues/3AiL40.cha,58.0,participant,statement,with my mother  speak Spanish  and with my  father and my brother I speak  Catalan .,3AiL40.cha,3.0
60dialogues/3AiL40.cha,59.0,interviewer,statement,and you've never been to an English_speaking country .,3AiL40.cha,3.0
61dialogues/3AiL40.cha,60.0,participant,statement,no never .,3AiL40.cha,3.0
62dialogues/3AiL40.cha,61.0,interviewer,wh_question,and where did you learn your English ?,3AiL40.cha,3.0
63dialogues/3AiL40.cha,62.0,participant,statement,in the school .,3AiL40.cha,3.0
64dialogues/3AiL40.cha,63.0,interviewer,general_other_question,only ?,3AiL40.cha,3.0
65dialogues/3AiL40.cha,64.0,participant,yes_answers,yes .,3AiL40.cha,3.0
66dialogues/3AiL40.cha,65.0,interviewer,general_other_question,in this school ?,3AiL40.cha,3.0
67dialogues/3AiL40.cha,66.0,participant,statement,no  in the primary school .,3AiL40.cha,3.0
68dialogues/3AiL40.cha,67.0,interviewer,wh_question,which primary school ?,3AiL40.cha,3.0
69dialogues/3AiL40.cha,68.0,participant,statement,Lavinia .,3AiL40.cha,3.0
70dialogues/3AiL40.cha,69.0,interviewer,statement,ok  but you have a very good  hmm accent and very good English I think  for your level .,3AiL40.cha,3.0
71dialogues/3AiL40.cha,70.0,interviewer,wh_question,what do you think ?,3AiL40.cha,3.0
72dialogues/3AiL40.cha,71.0,interviewer,yes_no_question,do you have good marks ?,3AiL40.cha,3.0
73dialogues/3AiL40.cha,72.0,participant,yes_answers,yes .,3AiL40.cha,3.0
74dialogues/3AiL40.cha,73.0,interviewer,backchannel_question,yes ?,3AiL40.cha,3.0
75dialogues/3AiL40.cha,74.0,interviewer,statement,so you know &=laugh .,3AiL40.cha,3.0
76dialogues/3AiL40.cha,75.0,participant,statement,&=laugh .,3AiL40.cha,3.0
77dialogues/3AiL40.cha,76.0,interviewer,statement,ok let's go back to your family .,3AiL40.cha,3.0
78dialogues/3AiL40.cha,77.0,interviewer,general_other_question,"you've got one brother,  a mother and a father and you live the four of you together ?",3AiL40.cha,3.0
79dialogues/3AiL40.cha,78.0,participant,statement,  the last year my brother left home  ...,3AiL40.cha,3.0
80dialogues/3AiL40.cha,79.0,interviewer,backchannel_acknowledge,mmhm .,3AiL40.cha,3.0
81dialogues/3AiL40.cha,80.0,participant,statement," , and he's living    home with a friend .",3AiL40.cha,3.0
82dialogues/3AiL40.cha,81.0,interviewer,statement,ok and hmm so you have your the whole flat for the three of you .,3AiL40.cha,3.0
83dialogues/3AiL40.cha,82.0,interviewer,general_other_question,is it a large flat ?,3AiL40.cha,3.0
84dialogues/3AiL40.cha,83.0,participant,no_answers,hmm no .,3AiL40.cha,3.0
